uid,date,DVS,LAI,TWLV,TWST,WSO,TAGP
nefer_13,2006-03-29,0.45,0.87946755,656.11758611,287.94563228,,944.06321839
nefer_13,2006-04-26,,3.14580046,2112.2777494,2733.12454945,,4845.40229885
nefer_13,2006-05-15,1.075,1.97935337,1895.83786047,,,7931.55747126
nefer_13,2006-07-04,2.0,,,,5945.2387868,13853.41954023
nefer_14,2012-11-20,-0.1,,,,,
nefer_14,2012-12-17,-0.01,,,,,
nefer_14,2013-03-19,0.45,,,,,463.19158665
nefer_14,2013-04-22,,,,,,1595.79332419
nefer_14,2013-05-13,1.075,,,,,
nefer_14,2013-06-17,1.635,,,,,
nefer_14,2013-07-25,2.0,,,,2057.70447868,4222.53778094
nefer_15,2012-11-20,-0.1,,,,,
nefer_15,2012-12-17,-0.01,,,,,
nefer_15,2013-03-19,0.45,,,,,388.6602652
nefer_15,2013-04-22,,,,,,2318.70141747
nefer_15,2013-05-13,1.075,,,,,
nefer_15,2013-06-17,1.635,,,,,
nefer_15,2013-07-25,2.0,,,,4419.52105079,8995.0430697
nefer_16,2012-11-20,-0.1,,,,,
nefer_16,2012-12-17,-0.01,,,,,
nefer_16,2013-03-19,0.45,,,,,370.37037037
nefer_16,2013-04-22,,,,,,1295.38180155
nefer_16,2013-05-13,1.075,,,,,
nefer_16,2013-06-17,1.635,,,,,
nefer_16,2013-07-25,2.0,,,,2067.85549545,3949.57231406
nefer_17,2012-11-20,-0.1,,,,,
nefer_17,2012-12-17,-0.01,,,,,
nefer_17,2013-03-19,0.45,,,,,297.21079104
nefer_17,2013-04-22,,,,,,2331.04709648
nefer_17,2013-05-13,1.075,,,,,
nefer_17,2013-06-17,1.635,,,,,
nefer_17,2013-07-25,2.0,,,,4517.60846836,7945.54313819
nefer_18,2011-11-14,-0.1,,,,,
nefer_18,2012-03-19,0.45,0.97273829,,714.63102801,,999.65706447
nefer_18,2012-04-16,,2.38561375,,2519.46006932,,2643.39277549
nefer_18,2012-05-14,1.075,1.56567314,,5452.70038557,,5396.43347051
nefer_18,2012-06-05,1.635,0.83119789,,4865.95571103,,7330.64276446
nefer_18,2012-07-03,2.0,,,,3660.50725473,7651.1487066
nefer_19,2011-11-14,-0.1,,,,,
nefer_19,2012-03-19,0.45,0.6002007,,434.03832934,,851.9478738
nefer_19,2012-04-16,,1.19642661,,1652.55913749,,2611.46319159
nefer_19,2012-05-14,1.075,0.90766426,,3990.97495147,,7495.69902657
nefer_19,2012-06-05,1.635,0.29829873,,3306.83895658,,10154.85855494
nefer_19,2012-07-03,2.0,,,,3080.43204422,6285.21415387
